user_id,username,department_id,role
1,richardblair,11,Analyst
2,cassiemiller,1,Associate
3,burkemarie,5,Analyst
4,hwatts,4,Analyst
5,katherine85,12,Analyst
6,janet48,11,Associate
7,anthonypark,15,Associate
8,roycollins,2,Associate
9,aguirrekrista,7,Analyst
10,lisa74,1,Analyst
11,andrea54,4,Analyst
12,amyswanson,9,Associate
13,ryan92,1,Associate
14,brandon14,4,Associate
15,charles35,11,Associate
16,ugarcia,9,Manager
17,victoria76,4,Manager
18,jonathon56,10,Manager
19,rquinn,13,Analyst
20,greenaaron,13,Analyst
21,ronaldkeller,12,Manager
22,melissaflynn,6,Manager
23,jessicawest,3,Analyst
24,michael35,13,Manager
25,sfrazier,2,Analyst
26,ochapman,7,Analyst
27,ulambert,6,Manager
28,wduran,10,Manager
29,meghanmercer,13,Analyst
30,ruizbrianna,12,Manager
31,william62,9,Analyst
32,jennifer94,15,Manager
33,pharrison,2,Associate
34,rwilliams,5,Associate
35,larsenanthony,10,Manager
36,sarahle,10,Analyst
37,nelsonkyle,12,Analyst
38,wstrickland,1,Associate
39,nsmith,4,Manager
40,morgan23,2,Analyst
41,ibeck,14,Analyst
42,alexandercrystal,7,Manager
43,owhite,8,Associate
44,greerlogan,14,Manager
45,mcgeealexandria,3,Manager
46,blackkelly,6,Analyst
47,angela20,11,Manager
48,stacymarshall,12,Associate
49,jonesnicole,11,Analyst
50,scottperez,10,Associate
51,aanderson,3,Associate
52,mendozavictoria,12,Analyst
53,cruzashley,3,Manager
54,mbarnes,7,Manager
55,victorcox,15,Associate
56,jeremyjackson,12,Associate
57,tony54,4,Associate
58,wanda45,6,Analyst
59,jenniferyork,4,Analyst
60,raven78,13,Manager
61,victoria52,7,Manager
62,kimberlydavis,2,Analyst
63,omarthompson,15,Associate
64,wcolon,15,Associate
65,elopez,6,Analyst
66,conniewhite,11,Manager
67,alexandralopez,7,Associate
68,yortega,8,Analyst
69,john15,5,Analyst
70,michael27,4,Associate
71,zkeith,9,Associate
72,amanda47,5,Associate
73,oglass,10,Manager
74,vanessa08,15,Associate
75,christinehenderson,7,Manager
